Id,ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,ActivityDate_UK,SedentaryHours,VeryActiveHours,FairlyActiveHours,LightlyActiveHours,TotalActiveMinutes,TotalActiveHours,TotalActiveTime,DayOfWeek,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,SleepDay_UK,HoursAsleep,HoursInBed,TimeAwakeInBedHours,SleepDuration,TimeInBed,AwakeInBedTime
1503960366,2016-04-12,13162,8.5,8.5,0.0,1.87999999523163,0.550000011920929,6.05999994277954,0.0,25,13,328,728,1985,12/04/2016,12.133333333333333,0.4166666666666667,0.21666666666666667,5.466666666666667,366,6.1,6h 6m,Tuesday,1,327,346,12/04/2016,5.45,5.766666666666667,0.31666666666666643,5h 27m,5h 46m,0h 19m
1503960366,2016-04-13,10735,6.96999979019165,6.96999979019165,0.0,1.57000005245209,0.689999997615814,4.71000003814697,0.0,21,19,217,776,1797,13/04/2016,12.933333333333334,0.35,0.31666666666666665,3.6166666666666667,257,4.283333333333333,4h 17m,Wednesday,2,384,407,13/04/2016,6.4,6.783333333333333,0.38333333333333286,6h 24m,6h 47m,0h 23m
1503960366,2016-04-15,9762,6.28000020980835,6.28000020980835,0.0,2.14000010490417,1.25999999046326,2.82999992370605,0.0,29,34,209,726,1745,15/04/2016,12.1,0.48333333333333334,0.5666666666666667,3.4833333333333334,272,4.533333333333333,4h 32m,Friday,1,412,442,15/04/2016,6.866666666666666,7.366666666666666,0.5,6h 52m,7h 22m,0h 30m
1503960366,2016-04-16,12669,8.15999984741211,8.15999984741211,0.0,2.71000003814697,0.409999996423721,5.03999996185303,0.0,36,10,221,773,1863,16/04/2016,12.883333333333333,0.6,0.16666666666666666,3.683333333333333,267,4.45,4h 27m,Saturday,2,340,367,16/04/2016,5.666666666666667,6.116666666666666,0.4499999999999993,5h 40m,6h 7m,0h 27m
1503960366,2016-04-17,9705,6.48000001907349,6.48000001907349,0.0,3.19000005722046,0.779999971389771,2.50999999046326,0.0,38,20,164,539,1728,17/04/2016,8.983333333333333,0.6333333333333333,0.3333333333333333,2.7333333333333334,222,3.7,3h 42m,Sunday,1,700,712,17/04/2016,11.666666666666666,11.866666666666667,0.20000000000000107,11h 40m,11h 52m,0h 12m
1503960366,2016-04-19,15506,9.88000011444092,9.88000011444092,0.0,3.52999997138977,1.32000005245209,5.03000020980835,0.0,50,31,264,775,2035,19/04/2016,12.916666666666666,0.8333333333333334,0.5166666666666667,4.4,345,5.75,5h 45m,Tuesday,1,304,320,19/04/2016,5.066666666666666,5.333333333333333,0.2666666666666666,5h 4m,5h 20m,0h 16m
1503960366,2016-04-20,10544,6.67999982833862,6.67999982833862,0.0,1.96000003814697,0.479999989271164,4.23999977111816,0.0,28,12,205,818,1786,20/04/2016,13.633333333333333,0.4666666666666667,0.2,3.4166666666666665,245,4.083333333333333,4h 5m,Wednesday,1,360,377,20/04/2016,6.0,6.283333333333333,0.2833333333333332,6h 0m,6h 17m,0h 17m
1503960366,2016-04-21,9819,6.34000015258789,6.34000015258789,0.0,1.3400000333786,0.349999994039536,4.65000009536743,0.0,19,8,211,838,1775,21/04/2016,13.966666666666667,0.31666666666666665,0.13333333333333333,3.5166666666666666,238,3.966666666666667,3h 58m,Thursday,1,325,364,21/04/2016,5.416666666666667,6.066666666666666,0.6499999999999995,5h 25m,6h 4m,0h 39m
1503960366,2016-04-23,14371,9.03999996185303,9.03999996185303,0.0,2.80999994277954,0.870000004768372,5.3600001335144,0.0,41,21,262,732,1949,23/04/2016,12.2,0.6833333333333333,0.35,4.366666666666666,324,5.4,5h 24m,Saturday,1,361,384,23/04/2016,6.016666666666667,6.4,0.38333333333333375,6h 1m,6h 24m,0h 23m
1503960366,2016-04-24,10039,6.40999984741211,6.40999984741211,0.0,2.92000007629395,0.209999993443489,3.27999997138977,0.0,39,5,238,709,1788,24/04/2016,11.816666666666666,0.65,0.08333333333333333,3.966666666666667,282,4.7,4h 42m,Sunday,1,430,449,24/04/2016,7.166666666666667,7.483333333333333,0.31666666666666643,7h 10m,7h 29m,0h 19m
